HR,BP,BT,RR,BS,SPO2,EDA,BVP
168,125,35.05,12,82,95.70204561,0.328021,0
155,140,35.05,18,90,96.68941322,0.410026,0
125,145,35.05,15,82,98.50826478,0.43309,0
161,148,35.05,16,127,95.01180149,0.444622,0
106,138,35.07,16,122,98.62379174,0.453591,0
122,100,35.07,12,125,95.9871292,0.458716,0
140,114,35.07,17,116,99.45671577,0.46256,0
145,160,35.07,15,99,97.12412468,0.465123,0
144,120,35.09,12,88,98.58449733,0.467686,0
116,122,35.09,15,126,97.91626728,0.470248,0
125,112,35.09,16,127,98.19939668,0.47153,0
136,132,35.09,12,131,97.99740132,0.472811,0.01
192,118,35.11,16,120,96.58725179,0.474092,0.01
122,140,35.11,13,139,96.53272472,0.474092,0
156,128,35.11,12,121,98.67483992,0.475374,0.03
192,118,35.11,14,133,99.99858724,0.475374,0.05
142,140,35.09,15,85,96.07349546,0.475374,0.05
109,124,35.09,16,99,97.58444092,0.476655,0
162,120,35.09,17,131,96.24222856,0.479218,0.13
165,140,35.09,18,91,98.04297005,0.479218,0.36
155,140,35.13,13,116,98.31401277,0.479218,0.66
142,106,35.13,17,112,99.9020058,0.477936,1.01
148,104,35.13,18,74,95.58053597,0.477936,1.37
172,135,35.13,14,87,97.68387311,0.479218,1.72
173,120,35.11,19,85,99.51950795,0.477936,2.06
146,145,35.11,16,72,99.63600026,0.479218,2.4
179,130,35.11,15,103,96.22988726,0.477936,2.79
152,136,35.11,13,114,96.29594771,0.477936,3.24
142,130,35.13,12,86,97.86945129,0.479218,3.8
117,180,35.13,19,117,97.28871529,0.48178,4.42
144,120,35.13,15,135,96.98968093,0.485624,5.06
162,120,35.13,16,126,98.5112939,0.49075,5.66
115,130,35.15,14,93,95.38591338,0.493312,6.2
112,160,35.15,17,77,97.57455702,0.495875,6.68
163,129,35.15,17,78,96.67720813,0.501,7.15
147,150,35.15,13,123,95.97068986,0.503563,7.68
125,125,35.13,12,101,97.03284611,0.506126,8.31
182,138,35.13,16,89,95.44714966,0.504844,9.14
105,128,35.13,19,110,99.75255376,0.503563,10.09
150,128,35.13,19,130,96.53088773,0.502282,11.04
151,160,35.15,19,80,96.70691851,0.501,11.88
147,120,35.15,19,114,99.91514224,0.499719,12.56
169,130,35.15,15,134,97.30402079,0.498438,13.14
144,120,35.15,15,138,98.67323011,0.498438,13.76
166,132,35.15,12,100,98.36279704,0.497156,14.65
178,140,35.15,14,73,97.53558417,0.497156,15.96
132,135,35.15,13,125,98.63299157,0.495875,17.91
165,178,35.15,17,127,98.55068061,0.494594,20.32
152,146,35.15,19,78,95.85794822,0.494594,22.9
160,117,35.15,12,112,95.34456635,0.493312,25.38
162,150,35.15,13,88,95.00780603,0.492031,27.58
123,140,35.15,14,134,96.40920772,0.492031,29.57
173,138,35.16,14,122,98.4593213,0.49075,31.68
139,120,35.16,19,128,95.02678066,0.489468,34.32
111,140,35.16,16,80,98.98384325,0.488187,37.81
111,140,35.16,18,83,98.90308439,0.488187,42.54
162,120,35.15,15,74,98.88670368,0.486906,48.15
180,130,35.15,14,99,97.98023114,0.485624,54.1
150,152,35.15,13,77,97.89955274,0.485624,59.83
164,154,35.15,15,86,98.86927996,0.485624,64.97
202,130,35.13,12,92,95.10907491,0.483062,69.58
152,146,35.13,16,122,98.6885521,0.483062,74.14
125,100,35.13,14,124,99.44863932,0.483062,79.34
157,150,35.13,16,103,99.3901035,0.48178,85.71
202,130,35.13,17,79,99.98737049,0.48178,93.76
159,170,35.13,13,88,99.02601661,0.480499,103
